model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human
poolformerv2_m36.sail_in1k,MetaFormer,ImageNet 1k,82.216,50,65.14441842,52.12765957,53.19148936
poolformerv2_s12.sail_in1k,MetaFormer,ImageNet 1k,78.002,50.98752599,64.3637783,56.38297872,50
poolformerv2_s24.sail_in1k,MetaFormer,ImageNet 1k,80.748,52.1049896,64.9882904,53.19148936,56.38297872
poolformerv2_s36.sail_in1k,MetaFormer,ImageNet 1k,81.566,51.03950104,67.29117877,53.19148936,63.82978723
pvt_v2_b0.in1k,Transformer,ImageNet 1k,70.66,51.48128898,65.0273224,54.25531915,57.44680851
pvt_v2_b1.in1k,Transformer,ImageNet 1k,78.704,51.1954262,63.93442623,55.31914894,56.38297872
pvt_v2_b2_li.in1k,Transformer,ImageNet 1k,82.194,50.05197505,66.58860265,54.25531915,59.57446809
pvt_v2_b2.in1k,Transformer,ImageNet 1k,82.084,49.45426195,65.14441842,55.31914894,53.19148936
pvt_v2_b3.in1k,Transformer,ImageNet 1k,83.118,51.16943867,63.7782982,60.63829787,61.70212766
pvt_v2_b4.in1k,Transformer,ImageNet 1k,83.712,50.96153846,62.13895394,48.93617021,54.25531915
pvt_v2_b5.in1k,Transformer,ImageNet 1k,83.74,50.1039501,66.8618267,56.38297872,53.19148936
regnetx_004_tv.tv2_in1k,CNN,ImageNet 1k,74.6,49.61018711,65.41764247,46.80851064,60.63829787
regnetx_008.tv2_in1k,CNN,ImageNet 1k,77.306,50.7016632,65.84699454,52.12765957,64.89361702
regnetx_016.tv2_in1k,CNN,ImageNet 1k,79.436,50.57172557,65.41764247,53.19148936,55.31914894
regnety_004.tv2_in1k,CNN,ImageNet 1k,75.594,51.11746362,69.47697112,55.31914894,61.70212766
regnety_008_tv.tv2_in1k,CNN,ImageNet 1k,78.666,49.22037422,67.40827479,56.38297872,60.63829787
regnety_016.tv2_in1k,CNN,ImageNet 1k,80.666,50.02598753,66.00312256,60.63829787,56.38297872
repvgg_b0.rvgg_in1k,CNN,ImageNet 1k,75.144,50.72765073,67.64246682,47.87234043,62.76595745
repvgg_b1.rvgg_in1k,CNN,ImageNet 1k,78.368,51.97505198,61.9047619,57.44680851,60.63829787
repvgg_b1g4.rvgg_in1k,CNN,ImageNet 1k,77.588,52.5987526,66.93989071,52.12765957,74.46808511
repvgg_b2.rvgg_in1k,CNN,ImageNet 1k,78.792,51.03950104,68.85245902,55.31914894,62.76595745
repvgg_b2g4.rvgg_in1k,CNN,ImageNet 1k,79.382,51.53326403,66.54957065,45.74468085,61.70212766
repvgg_b3g4.rvgg_in1k,CNN,ImageNet 1k,80.216,51.94906445,67.05698673,55.31914894,65.95744681
res2net50_14w_8s.in1k,CNN,ImageNet 1k,78.158,50.41580042,65.26151444,52.12765957,58.5106383
res2net50_26w_4s.in1k,CNN,ImageNet 1k,77.95,51.06548857,62.529274,53.19148936,58.5106383
res2net50_26w_6s.in1k,CNN,ImageNet 1k,78.568,49.48024948,64.44184231,53.19148936,62.76595745
res2net50_26w_8s.in1k,CNN,ImageNet 1k,78.942,51.2993763,61.8657299,55.31914894,55.31914894
res2net50_48w_2s.in1k,CNN,ImageNet 1k,77.514,50.49376299,65.45667447,57.44680851,54.25531915
resnest50d_1s4x24d.in1k,CNN,ImageNet 1k,80.988,51.09147609,72.79469165,62.76595745,65.95744681
resnest50d_4s2x40d.in1k,CNN,ImageNet 1k,81.12,49.79209979,71.50663544,52.12765957,61.70212766
resnest50d.in1k,CNN,ImageNet 1k,80.96,50.85758836,72.36533958,54.25531915,69.14893617
resnet10t.c3_in1k,CNN,ImageNet 1k,68.364,50.12993763,59.25058548,45.74468085,62.76595745
resnet14t.c3_in1k,CNN,ImageNet 1k,72.254,51.53326403,66.62763466,60.63829787,63.82978723
resnet18.fb_ssl_yfcc100m_ft_in1k,CNN,YFCC100M,72.598,51.1954262,64.87119438,55.31914894,68.08510638
resnet18.fb_swsl_ig1b_ft_in1k,CNN,Instagram-1B hashtags,73.288,51.71517672,66.74473068,47.87234043,61.70212766
resnet18.tv_in1k,CNN,ImageNet 1k,69.76,49.76611227,64.20765027,48.93617021,58.5106383
resnet50.a1h_in1k,CNN,ImageNet 1k,80.678,51.14345114,64.87119438,51.06382979,60.63829787
resnet50.am_in1k,CNN,ImageNet 1k,79.002,49.61018711,63.97345824,43.61702128,62.76595745
resnet50.tv_in1k,CNN,ImageNet 1k,76.128,49.58419958,64.01249024,54.25531915,58.5106383
resnet50d.a3_in1k,CNN,ImageNet 1k,78.72,50.38981289,67.44730679,57.44680851,67.0212766
resnetrs50.tf_in1k,CNN,ImageNet 1k,79.894,50.25987526,68.50117096,58.5106383,61.70212766
resnet18.gluon_in1k,CNN,ImageNet 1k,70.834,51.32536383,59.60187354,51.06382979,65.95744681
resnet34.gluon_in1k,CNN,ImageNet 1k,74.58,49.42827443,63.42701015,55.31914894,61.70212766
rexnet_100.nav_in1k,CNN,ImageNet 1k,77.856,49.32432432,66.82279469,55.31914894,63.82978723
rexnet_130.nav_in1k,CNN,ImageNet 1k,79.506,50.31185031,68.46213895,50,69.14893617
rexnet_150.nav_in1k,CNN,ImageNet 1k,80.324,50.05197505,65.30054645,43.61702128,60.63829787
rexnet_200.nav_in1k,CNN,ImageNet 1k,81.636,52.18295218,73.69242779,52.12765957,65.95744681
rexnet_300.nav_in1k,CNN,ImageNet 1k,82.774,51.84511435,72.24824356,54.25531915,64.89361702
skresnet18.ra_in1k,CNN,ImageNet 1k,73.034,50.38981289,61.74863388,54.25531915,61.70212766
skresnet34.ra_in1k,CNN,ImageNet 1k,76.91,51.37733888,65.14441842,51.06382979,61.70212766
swin_base_patch4_window7_224.ms_in1k,Transformer,ImageNet 1k,83.606,51.32536383,67.99375488,56.38297872,53.19148936
swin_base_patch4_window7_224.ms_in22k_ft_in1k,Transformer,ImageNet 21k,85.272,50.72765073,75.05854801,45.74468085,63.82978723
